NAME,TYPE,DECADE,MEDIA URL,DATE,DIMSENSIONS (CM)
Benjamin Latrobe,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2011_64Latrobe_int,1790,18.1 × 13.3
Watercolor Painting Depicting the Bennet Family Record,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NMAH-84-7679,1804,34.9 × 27.3
Capt. John Gassoway,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.33_1,1790,3.8 x 2.9
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1984.64_1,1790,8.9 x 8.9
Captain John H. Seward,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1983.21_1,1790,4.2 x 3.3
Portrait of a Man,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1979.5.10_1,1790,30.5 x 24.9
Susanne Correy,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1979.153.1_1,1790,5.1 x 3.8
"Archibald Bulloch, Governor of Georgia",Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.77.2_1,1790,4.8 x 3.8
Portrait of a Gentleman,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.5_1,1790,6.7 x 5.4
Portrait of Mrs. Robert Kermit,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1970.76_1,1790,30.4 x 25.1
James Rumsey,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1957.11.2_1,1790,12.4 x 10.5
Mrs. Richard Yates,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1956.1.2_1,1790,4.7 x 3.8
"James Cunningham, Last Earl of Glencairn",Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1951.3.8_1,1790,6.3 x 4.8
Portrait of a Young Lady,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1942.11.5_1,1790,4.5 x 3.5
William Linn,Miniature,1790-1799,"https://ids.si.edu/ids/iiif/NPG-NPG_2007_11Linn-000003/full/250,/0/default.jpg",1790,5.7 x 4.4
Charles Cotesworth Pinckney,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_212,1791,8.6 × 7
Thomas Pinckney,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2007_211,1791,8.6 x 7
Elizabeth Grimké Rutledge,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_97_191Rutledgealt-000002,1791,10.3 × 7.6
John Rutledge,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-9700390A_1,1791,8.6 x 7.6
Charles Willson Peale Self-Portrait,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_89_205,1791,84.8 x 72.1
Mrs. Joseph Wright,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.49.2_1,1792,116.8 x 91.8
Mrs. Richard Alsop,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.49.1_1,1792,115.8 x 91.8
Thomas Paine,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2008_5,1792,34 x 26
James Wilson,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1952.3.3_1,1792,6.7 x 5.2
Joseph Curwen,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1984.2_1,1804,7.3 x 5.7
Master Peters,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1981.32_1,1804,6.8 x 5.6
Mrs. George Willig,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1959.9.2_1,1804,4.3 x 5.5
Henry B. Bounetheau's Aunt,Miniature,1800-1809,https://ids.si.edu/ids/deliveryService?id=SAAM-1946.3.16_1,1804,8.6 x 7.0
William Linn,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2007_12Linn-000001,1805,74.9 x 55.9
Joel Barlow,Painting,1800-1809,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_83_249,1805,38.7 x 32.3
